mes,ano,tipo.documento,total.ctr,entrada.ate.doc.import,doc.import.ate.desembaraco,desembaraco.ate.saida,entrada.ate.saida,operador,transito,recinto,porto,descricao_doc,Ano,Mes,Chuva_Total,Chuva_Max_Dia,Vento_Max_Mes,Vento_Media,Pct_Chuva,Pct_Vento,clima_valido
1,2019,1,40842,6.9,0.66,8.34,16.31,0.77,0.03,16.31,17.09,DI (Declaração Importação),2019,1,219.4,23.6,14.7,4.082123655913978,100.0,100.0,True
2,2019,1,36784,5.84,0.7,8.59,15.56,0.77,0.03,15.56,16.34,DI (Declaração Importação),2019,2,601.6,61.0,19.3,4.028869047619048,100.0,100.0,True
3,2019,1,41433,5.25,0.67,6.61,12.89,0.85,0.03,12.89,13.75,DI (Declaração Importação),2019,3,429.6,37.4,15.0,3.875537634408602,100.0,100.0,True
4,2019,1,46120,5.52,1.04,7.92,14.96,0.72,0.03,14.96,15.68,DI (Declaração Importação),2019,4,269.6,47.0,22.1,3.4141666666666666,100.0,100.0,True
5,2019,1,44267,5.37,1.0,8.0,14.78,0.83,0.04,14.78,15.63,DI (Declaração Importação),2019,5,297.2,24.4,16.5,3.449731182795699,100.0,100.0,True
6,2019,1,43197,5.38,0.83,8.54,15.25,0.77,0.04,15.25,16.05,DI (Declaração Importação),2019,6,153.0,36.2,11.5,3.0247222222222225,100.0,100.0,True
7,2019,1,49549,5.25,0.5,8.09,14.37,0.66,0.04,14.37,15.04,DI (Declaração Importação),2019,7,166.0,15.6,15.8,3.4958333333333336,100.0,100.0,True
8,2019,1,47757,5.07,0.56,8.21,14.39,0.7,0.04,14.39,15.08,DI (Declaração Importação),2019,8,189.6,5.8,15.9,3.8262449528936746,99.86559139784946,99.86559139784946,True
9,2019,1,47130,4.89,0.47,8.17,13.99,0.66,0.03,13.99,14.64,DI (Declaração Importação),2019,9,193.4,5.8,11.3,3.9779166666666654,100.0,100.0,True
10,2019,1,48430,4.25,0.53,6.59,11.75,0.67,0.04,11.75,12.44,DI (Declaração Importação),2019,10,120.2,18.6,16.5,3.895430107526881,100.0,100.0,True
11,2019,1,40906,4.97,0.63,7.85,13.94,0.7,0.03,13.94,14.65,DI (Declaração Importação),2019,11,148.8,21.6,17.9,3.899279538904899,96.38888888888889,96.38888888888889,True
12,2019,1,40153,7.05,0.56,8.54,16.66,0.7,0.03,16.66,17.36,DI (Declaração Importação),2019,12,,,,,0.0,35.3494623655914,False
1,2020,1,43289,5.99,0.52,8.15,15.21,0.71,0.04,15.21,15.93,DI (Declaração Importação),2020,1,,,,,3.225806451612903,2.419354838709677,False
2,2020,1,37810,5.99,0.57,8.4,15.57,0.72,0.04,15.57,16.14,DI (Declaração Importação),2020,2,,,,,0.0,5.890804597701149,False
3,2020,1,38331,5.57,0.43,6.71,13.25,0.7,0.03,13.25,13.97,DI (Declaração Importação),2020,3,,,,,0.0,21.236559139784948,False
4,2020,1,41778,9.26,0.84,8.86,19.56,0.61,0.04,19.56,20.17,DI (Declaração Importação),2020,4,,,,,0.0,22.63888888888889,False
5,2020,1,34837,6.96,0.69,8.45,16.84,0.62,0.03,16.84,17.47,DI (Declaração Importação),2020,5,,,,,0.0,25.537634408602152,False
6,2020,1,27441,5.28,0.76,8.01,14.53,0.63,0.03,14.53,15.18,DI (Declaração Importação),2020,6,,,,,0.0,19.02777777777778,False
7,2020,1,32781,4.46,0.77,7.23,12.87,0.65,0.03,12.87,13.53,DI (Declaração Importação),2020,7,,,,,0.0,20.967741935483872,False
8,2020,1,34380,4.18,0.51,6.93,12.16,0.72,0.04,12.16,12.89,DI (Declaração Importação),2020,8,,,,,0.0,21.236559139784948,False
9,2020,1,37706,3.49,1.53,7.06,12.56,0.71,0.03,12.56,13.24,DI (Declaração Importação),2020,9,,,,,0.0,16.52777777777778,False
10,2020,1,43050,4.11,1.13,7.02,12.66,0.68,0.03,12.66,13.34,DI (Declaração Importação),2020,10,,,,,0.0,17.473118279569892,False
11,2020,1,47328,4.0,0.97,7.13,12.5,0.73,0.03,12.5,13.23,DI (Declaração Importação),2020,11,,,,,0.0,18.75,False
12,2020,1,48125,4.49,1.29,8.17,14.36,0.77,0.04,14.36,15.1,DI (Declaração Importação),2020,12,,,,,16.129032258064516,15.456989247311828,False
1,2021,1,44955,4.85,0.41,7.87,13.59,0.74,0.03,13.59,14.29,DI (Declaração Importação),2021,1,,,,,25.537634408602152,24.327956989247312,False
2,2021,1,44300,4.22,0.82,7.23,12.72,0.63,0.05,12.72,13.34,DI (Declaração Importação),2021,2,,,,,29.464285714285715,26.636904761904763,False
3,2021,1,52401,4.67,0.48,8.14,13.72,0.79,0.04,13.72,14.49,DI (Declaração Importação),2021,3,,,,,31.451612903225808,29.70430107526882,False
4,2021,1,45008,5.18,0.16,8.13,14.1,0.65,0.03,14.1,14.74,DI (Declaração Importação),2021,4,,,,,32.63888888888889,29.72222222222222,False
5,2021,1,49477,5.12,0.27,8.33,14.5,0.75,0.04,14.5,15.25,DI (Declaração Importação),2021,5,,,,,29.435483870967744,27.41935483870968,False
6,2021,1,41456,4.94,0.48,8.16,13.93,0.76,0.03,13.93,14.69,DI (Declaração Importação),2021,6,,,,,24.72222222222222,23.33333333333333,False
7,2021,1,46725,5.34,0.37,8.38,14.43,0.83,0.03,14.43,15.28,DI (Declaração Importação),2021,7,,,,,31.85483870967742,30.241935483870968,False
8,2021,1,46946,4.64,0.16,8.31,13.45,0.66,0.05,13.45,14.07,DI (Declaração Importação),2021,8,,,,,27.284946236559136,26.61290322580645,False
9,2021,1,45061,5.27,0.34,7.96,13.98,0.75,0.03,13.98,14.74,DI (Declaração Importação),2021,9,,,,,27.22222222222222,26.38888888888889,False
10,2021,1,44017,5.57,0.35,9.44,15.76,0.71,0.04,15.76,16.45,DI (Declaração Importação),2021,10,,,,,19.48924731182796,19.35483870967742,False
11,2021,1,44647,5.74,0.44,9.59,16.12,2.14,0.04,16.12,18.29,DI (Declaração Importação),2021,11,,,,,22.77777777777778,22.5,False
12,2021,1,48030,7.04,0.41,9.69,17.59,0.78,0.03,17.59,18.37,DI (Declaração Importação),2021,12,,,,,16.263440860215052,15.994623655913978,False
1,2022,1,43378,6.73,0.93,9.5,17.52,0.86,0.07,17.52,18.38,DI (Declaração Importação),2022,1,,,,,16.129032258064516,16.129032258064516,False
