mes,ano,sit.carga,qtde.unidades,qtde.teus,peso.bruto,peso.liquido
1,2019,D,45735,73762,"841,616","690,641"
2,2019,D,45098,72909,"854,888","705,529"
3,2019,D,46433,75131,"847,987","694,43"
4,2019,D,52878,84841,"977,237","803,295"
5,2019,D,49444,79727,"912,847","750,32"
6,2019,D,48331,77623,"893,976","735,722"
7,2019,D,57446,92340,"1.065,44","876,625"
8,2019,D,54030,88179,"990,603","811,163"
9,2019,D,53269,85805,"1.003,44","827,876"
10,2019,D,55308,90450,"1.039,78","855,862"
11,2019,D,48249,78686,"898,492","738,483"
12,2019,D,45430,73987,"839,986","688,904"
1,2020,D,50617,83198,"939,978","769,634"
2,2020,D,43071,70107,"801,106","658,053"
3,2020,D,43835,70497,"813,437","669,793"
4,2020,D,50614,80956,"943,167","777,503"
5,2020,D,40014,62897,"770,158","639,326"
6,2020,D,31254,48982,"594,369","492,855"
7,2020,D,38203,61004,"722,979","596,76"
8,2020,D,40586,65497,"758,637","624,131"
9,2020,D,44149,70672,"846,792","701,046"
10,2020,D,50350,81406,"968,329","801,538"
11,2020,D,53668,87374,"1.027,28","849,745"
12,2020,D,55556,90650,"1.058,80","874,844"
1,2021,D,51571,84924,"986,587","813,267"
2,2021,D,52288,86502,"985,39","812,385"
3,2021,D,61897,102401,"1.172,33","965,487"
4,2021,D,54891,90663,"1.043,02","857,827"
5,2021,D,57628,95648,"1.088,28","894,281"
6,2021,D,50446,83092,"1.039,06","869,481"
7,2021,D,54973,91276,"1.049,78","864,123"
8,2021,D,56327,94281,"1.060,09","872,249"
9,2021,D,53943,90060,"1.040,06","856,803"
10,2021,D,52413,87696,"1.005,71","828,341"
11,2021,D,54454,91716,"1.038,11","853,216"
12,2021,D,58070,98719,"1.117,54","918,048"
1,2022,D,51809,88017,"974,971","801,863"
2,2022,D,52452,88364,"1.020,95","842,64"
3,2022,D,49897,84116,"964,554","796,67"
4,2022,D,53568,90336,"1.018,99","837,177"
5,2022,D,55688,92614,"1.069,90","882,547"
6,2022,D,43303,72798,"843,767","697,308"
7,2022,D,59912,101494,"1.152,51","947,748"
8,2022,D,64081,108657,"1.248,19","1.029,48"
9,2022,D,61443,104647,"1.201,61","990,537"
10,2022,D,64704,109542,"1.288,58","1.066,30"
11,2022,D,53759,91737,"1.032,32","846,915"
12,2022,D,49848,85702,"945,896","773,774"
1,2023,D,49527,83788,"948,123","779,66"
2,2023,D,44328,75167,"852,912","700,72"
3,2023,D,51257,86894,"983,164","808,53"
4,2023,D,51710,86787,"997,017","820,928"
5,2023,D,54154,90488,"1.044,85","862,563"
6,2023,D,46765,77790,"927,307","769,454"
7,2023,D,53353,89634,"1.045,80","863,94"
8,2023,D,55815,95132,"1.075,84","882,905"
9,2023,D,54479,92743,"1.062,43","875,786"
10,2023,D,60584,104177,"1.201,06","989,507"
11,2023,D,51847,87880,"1.027,32","849,135"
12,2023,D,55213,94829,"1.088,17","895,43"
1,2024,D,56037,96436,"1.093,57","899,868"
2,2024,D,48985,83263,"966,854","798,595"
3,2024,D,58479,99261,"1.154,02","952,616"
4,2024,D,55595,93662,"1.106,78","918,154"
5,2024,D,56350,95774,"1.089,79","898,491"
6,2024,D,58964,100745,"1.179,95","976,377"
7,2024,D,65462,112427,"1.288,24","1.061,93"
8,2024,D,63122,108664,"1.253,25","1.034,01"
9,2024,D,69288,120861,"1.368,30","1.126,11"
10,2024,D,74603,130098,"1.456,11","1.204,59"
11,2024,D,65995,114691,"1.297,54","1.071,66"
12,2024,D,68200,118538,"1.328,08","1.094,18"
1,2025,D,71273,124679,"1.420,98","1.171,06"
2,2025,D,64683,111431,"1.263,44","1.040,09"
3,2025,D,60469,104852,"1.167,88","959,136"
4,2025,D,60910,104937,"1.169,51","962,131"
5,2025,D,63967,109841,"1.266,74","1.047,76"
6,2025,D,68247,117291,"1.322,96","1.093,57"
7,2025,D,63025,108999,"1.244,51","1.027,04"
8,2025,D,71370,124534,"1.402,64","1.155,29"
9,2025,D,71716,124687,"1.369,13","1.127,92"
10,2025,D,27767,47481,"378,475","314,124"
1,2019,I,46895,75643,0,"709,251"
2,2019,I,44389,71840,0,"694,298"
3,2019,I,47264,76375,0,"710,778"
4,2019,I,51864,83324,0,"791,268"
5,2019,I,49590,79696,0,"759,854"
6,2019,I,48640,78168,0,"747,806"
7,2019,I,56352,90678,0,"866,295"
8,2019,I,54077,88012,0,"822,299"
9,2019,I,52967,85208,0,"835,546"
10,2019,I,55737,91044,0,"888,459"
11,2019,I,46929,76468,0,"726,467"
12,2019,I,46111,75061,0,"692,678"
1,2020,I,50104,82230,0,"754,994"
2,2020,I,42905,69801,0,"657,915"
3,2020,I,44500,71644,0,"686,574"
4,2020,I,49877,79664,0,"777,976"
5,2020,I,40471,63717,0,"647,819"
6,2020,I,31029,48584,0,"494,782"
7,2020,I,37647,59976,0,"595,255"
8,2020,I,39660,64053,0,"618,579"
9,2020,I,43836,70146,0,"700,592"
10,2020,I,50003,80628,0,"818,281"
11,2020,I,54085,88081,0,"884,206"
12,2020,I,55039,89803,0,"912,257"
1,2021,I,51663,85060,0,"837,811"
2,2021,I,51226,84569,0,"824,79"
3,2021,I,61896,102425,0,"974,969"
4,2021,I,52671,86784,0,"829,625"
5,2021,I,59185,98122,0,"935,543"
6,2021,I,49596,81806,0,"861,084"
7,2021,I,55845,92335,0,"896,319"
8,2021,I,56131,93992,0,"891,837"
9,2021,I,54002,90004,0,"864,832"
10,2021,I,52948,88408,0,"848,438"
11,2021,I,53720,90497,0,"848,859"
12,2021,I,58306,99071,0,"929,088"
1,2022,I,50825,86184,0,"812,841"
2,2022,I,52745,88790,0,"853,526"
3,2022,I,49806,83870,0,"805,494"
4,2022,I,52769,88806,0,"839,565"
5,2022,I,54622,91137,0,"881,351"
6,2022,I,43895,73542,0,"714,47"
7,2022,I,60069,101715,0,"962,172"
8,2022,I,62909,106482,0,"1.025,30"
9,2022,I,60615,103167,0,"992,34"
10,2022,I,65314,110609,0,"1.116,20"
11,2022,I,52690,89919,0,"840,258"
12,2022,I,49580,85167,0,"816,616"
1,2023,I,50156,84773,0,"800,61"
2,2023,I,44795,75984,0,"714,805"
3,2023,I,50677,85815,0,"804,358"
4,2023,I,51356,86081,0,"821,102"
5,2023,I,52168,87123,0,"839,951"
6,2023,I,47597,79270,0,"789,31"
7,2023,I,54017,90607,0,"882,433"
8,2023,I,53810,91743,0,"860,198"
9,2023,I,54719,93081,0,"890,486"
10,2023,I,60214,103454,0,"988,635"
11,2023,I,53149,90228,0,"877,029"
12,2023,I,55055,94464,0,"903,72"
1,2024,I,55717,95810,0,"905,93"
2,2024,I,47528,80846,0,"786,058"
3,2024,I,60228,102105,0,"984,984"
4,2024,I,54919,92475,0,"911,299"
5,2024,I,55595,94442,0,"905,29"
6,2024,I,59671,102024,0,"1.020,89"
7,2024,I,63816,109448,0,"1.042,81"
8,2024,I,63531,109442,0,"1.046,65"
9,2024,I,68193,118792,0,"1.123,61"
10,2024,I,73224,127784,0,"1.233,04"
11,2024,I,62997,109493,0,"1.055,09"
12,2024,I,68843,119902,0,"1.139,57"
1,2025,I,70152,122516,0,"1.160,38"
2,2025,I,63270,109194,0,"1.030,26"
3,2025,I,60764,105179,0,"1.018,93"
4,2025,I,60717,104346,0,"981,816"
5,2025,I,63069,108256,0,"1.038,16"
6,2025,I,66178,113526,0,"1.095,49"
7,2025,I,63591,110033,0,"1.086,12"
8,2025,I,70019,122053,0,"1.149,31"
9,2025,I,68797,120432,0,"1.157,91"
10,2025,I,19621,33824,0,"335,841"
