mes,ano,tipo.documento,total.ctr,entrada.ate.doc.import,doc.import.ate.desembaraco,desembaraco.ate.saida ,entrada.ate.saida,operador,transito,recinto,porto
1,2019,1,40842,"6,9","0,66","8,34","16,31","0,77","0,03","16,31","17,09"
2,2019,1,36784,"5,84","0,7","8,59","15,56","0,77","0,03","15,56","16,34"
3,2019,1,41433,"5,25","0,67","6,61","12,89","0,85","0,03","12,89","13,75"
4,2019,1,46120,"5,52","1,04","7,92","14,96","0,72","0,03","14,96","15,68"
5,2019,1,44267,"5,37",1,8,"14,78","0,83","0,04","14,78","15,63"
6,2019,1,43197,"5,38","0,83","8,54","15,25","0,77","0,04","15,25","16,05"
7,2019,1,49549,"5,25","0,5","8,09","14,37","0,66","0,04","14,37","15,04"
8,2019,1,47757,"5,07","0,56","8,21","14,39","0,7","0,04","14,39","15,08"
9,2019,1,47130,"4,89","0,47","8,17","13,99","0,66","0,03","13,99","14,64"
10,2019,1,48430,"4,25","0,53","6,59","11,75","0,67","0,04","11,75","12,44"
11,2019,1,40906,"4,97","0,63","7,85","13,94","0,7","0,03","13,94","14,65"
12,2019,1,40153,"7,05","0,56","8,54","16,66","0,7","0,03","16,66","17,36"
1,2020,1,43289,"5,99","0,52","8,15","15,21","0,71","0,04","15,21","15,93"
2,2020,1,37810,"5,99","0,57","8,4","15,57","0,72","0,04","15,57","16,14"
3,2020,1,38331,"5,57","0,43","6,71","13,25","0,7","0,03","13,25","13,97"
4,2020,1,41778,"9,26","0,84","8,86","19,56","0,61","0,04","19,56","20,17"
5,2020,1,34837,"6,96","0,69","8,45","16,84","0,62","0,03","16,84","17,47"
6,2020,1,27441,"5,28","0,76","8,01","14,53","0,63","0,03","14,53","15,18"
7,2020,1,32781,"4,46","0,77","7,23","12,87","0,65","0,03","12,87","13,53"
8,2020,1,34380,"4,18","0,51","6,93","12,16","0,72","0,04","12,16","12,89"
9,2020,1,37706,"3,49","1,53","7,06","12,56","0,71","0,03","12,56","13,24"
10,2020,1,43050,"4,11","1,13","7,02","12,66","0,68","0,03","12,66","13,34"
11,2020,1,47328,4,"0,97","7,13","12,5","0,73","0,03","12,5","13,23"
12,2020,1,48125,"4,49","1,29","8,17","14,36","0,77","0,04","14,36","15,1"
1,2021,1,44955,"4,85","0,41","7,87","13,59","0,74","0,03","13,59","14,29"
2,2021,1,44300,"4,22","0,82","7,23","12,72","0,63","0,05","12,72","13,34"
3,2021,1,52401,"4,67","0,48","8,14","13,72","0,79","0,04","13,72","14,49"
4,2021,1,45008,"5,18","0,16","8,13","14,1","0,65","0,03","14,1","14,74"
5,2021,1,49477,"5,12","0,27","8,33","14,5","0,75","0,04","14,5","15,25"
6,2021,1,41456,"4,94","0,48","8,16","13,93","0,76","0,03","13,93","14,69"
7,2021,1,46725,"5,34","0,37","8,38","14,43","0,83","0,03","14,43","15,28"
8,2021,1,46946,"4,64","0,16","8,31","13,45","0,66","0,05","13,45","14,07"
9,2021,1,45061,"5,27","0,34","7,96","13,98","0,75","0,03","13,98","14,74"
10,2021,1,44017,"5,57","0,35","9,44","15,76","0,71","0,04","15,76","16,45"
